experiment_id,remote_dir,status,created_at_local,created_at_utc,seed,problem_name,dataset_name,dataset_family,dataset_key,train_path,model_alias,llm_model,llm_config_path,prompts_type,prompt_level,prompt_family,prompt_naming,prompt_setting,wandb_project,wandb_name,wandb_group,wandb_tags,niterations,samples_per_iteration,max_params,feature_count,feature_names,target_name,progress_entries,final_iteration,best_nmse,best_mse,best_sample_order,llm_prompt_tokens,llm_thinking_tokens,llm_content_tokens,llm_total_tokens,llm_time_seconds,background_sha1,background_preview
llm-srbench_bpg0__llmsr__4omini__L0_Domain__s10_llmsr_seed1314_20251128-044150,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L0_Domain__s10_llmsr_seed1314_20251128-044150,success,2025-11-28T04:41:50.746272+08:00,2025-11-27T20:41:50.746829Z,1314,llm-srbench_bpg0__llmsr__4omini__L0_Domain__s10,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L0_Domain,L0,Domain,,s10,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L0_Domain__s10,sim-group,"sim,llmsr,4omini,L0_Domain",250,4,10,2,"x0,x1",y,238,251,3.5267007850229134e-07,1.0769218737655445e-05,436,917060,0,658799,1575859,9152.14,698ee290f198,"Mathematical function for Population growth rate Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized "
llm-srbench_bpg0__llmsr__4omini__L0_Domain__s18_llmsr_seed1314_20251128-044145,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L0_Domain__s18_llmsr_seed1314_20251128-044145,success,2025-11-28T04:41:45.180603+08:00,2025-11-27T20:41:45.180619Z,1314,llm-srbench_bpg0__llmsr__4omini__L0_Domain__s18,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L0_Domain,L0,Domain,,s18,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L0_Domain__s18,sim-group,"sim,llmsr,4omini,L0_Domain",250,4,10,2,"x0,x1",y,242,251,3.5025387039729055e-07,1.0695436823099628e-05,901,871956,0,630260,1502216,8794.43,698ee290f198,"Mathematical function for Population growth rate Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized "
llm-srbench_bpg0__llmsr__4omini__L0_Domain__s2025_llmsr_seed1314_20251128-044145,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L0_Domain__s2025_llmsr_seed1314_20251128-044145,success,2025-11-28T04:41:45.122450+08:00,2025-11-27T20:41:45.122464Z,1314,llm-srbench_bpg0__llmsr__4omini__L0_Domain__s2025,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L0_Domain,L0,Domain,,s2025,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L0_Domain__s2025,sim-group,"sim,llmsr,4omini,L0_Domain",250,4,10,2,"x0,x1",y,248,251,1.784621323085238e-06,5.4495627964264985e-05,936,960396,0,685019,1645415,9279.24,698ee290f198,"Mathematical function for Population growth rate Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized "
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s10_llmsr_seed1314_20251128-070422,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s10_llmsr_seed1314_20251128-070422,success,2025-11-28T07:04:22.186331+08:00,2025-11-27T23:04:22.186347Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s10,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Anon,L1,Struct,Anon,s10,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s10,sim-group,"sim,llmsr,4omini,L1_Struct_Anon",250,4,10,2,"x0,x1",y,251,251,5.58742870339475e-07,1.7061907305391565e-05,243,1066312,0,685576,1751888,9321.78,bb2952f56fdf,"This is a problem from the natural sciences. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be optimized Return: y: Dependent va"
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s18_llmsr_seed1314_20251128-070215,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s18_llmsr_seed1314_20251128-070215,success,2025-11-28T07:02:15.057008+08:00,2025-11-27T23:02:15.057022Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s18,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Anon,L1,Struct,Anon,s18,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s18,sim-group,"sim,llmsr,4omini,L1_Struct_Anon",250,4,10,2,"x0,x1",y,251,251,2.422508689319862e-06,7.397431072108117e-05,563,925152,0,619609,1544761,8972.09,bb2952f56fdf,"This is a problem from the natural sciences. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be optimized Return: y: Dependent va"
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s18_llmsr_seed1314_20251128-075043,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s18_llmsr_seed1314_20251128-075043,success,2025-11-28T07:50:43.605894+08:00,2025-11-27T23:50:43.605909Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s18,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Anon,L1,Struct,Anon,s18,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s18,sim-group,"sim,llmsr,4omini,L1_Struct_Anon",250,4,10,2,"x0,x1",y,251,251,8.739492124631683e-07,2.668712433611354e-05,225,1103588,0,710787,1814375,10935.56,bb2952f56fdf,"This is a problem from the natural sciences. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be optimized Return: y: Dependent va"
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s2025_llmsr_seed1314_20251128-070726,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s2025_llmsr_seed1314_20251128-070726,success,2025-11-28T07:07:26.833076+08:00,2025-11-27T23:07:26.833090Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s2025,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Anon,L1,Struct,Anon,s2025,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Anon__s2025,sim-group,"sim,llmsr,4omini,L1_Struct_Anon",250,4,10,2,"x0,x1",y,248,251,1.4927687577176008e-06,4.5583547503859416e-05,597,1134796,0,734797,1869593,10444.68,bb2952f56fdf,"This is a problem from the natural sciences. Args: t, P: Independent variables (anonymized) params: Array of numeric constants or parameters to be optimized Return: y: Dependent va"
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s10_llmsr_seed1314_20251128-073422,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s10_llmsr_seed1314_20251128-073422,success,2025-11-28T07:34:22.944865+08:00,2025-11-27T23:34:22.944881Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s10,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Named,L1,Struct,Named,s10,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s10,sim-group,"sim,llmsr,4omini,L1_Struct_Named",250,4,10,2,"x0,x1",y,251,251,9.419162744148151e-07,2.876258296368267e-05,323,902060,0,603082,1505142,8321.0,8f7e092be14d,"This is a problem from the natural sciences. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized Retu"
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s10_llmsr_seed1314_20251128-073710,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s10_llmsr_seed1314_20251128-073710,success,2025-11-28T07:37:10.997081+08:00,2025-11-27T23:37:10.997094Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s10,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Named,L1,Struct,Named,s10,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s10,sim-group,"sim,llmsr,4omini,L1_Struct_Named",250,4,10,2,"x0,x1",y,249,251,2.613830535501732e-07,7.981656084781327e-06,132,923224,0,627528,1550752,8627.15,8f7e092be14d,"This is a problem from the natural sciences. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized Retu"
llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s18_llmsr_seed1314_20251128-073249,/data3/zhangziwen/experiments/1.llm_background_ablation/llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s18_llmsr_seed1314_20251128-073249,success,2025-11-28T07:32:49.424823+08:00,2025-11-27T23:32:49.424836Z,1314,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s18,llm-srbench_bpg0,llm-srbench,bpg0,llm-srbench/bio_pop_growth/BPG0/train.csv,4omini,blt/gpt-4o-mini,/home/zhangziwen/llm-4omini.config,L1_Struct_Named,L1,Struct,Named,s18,1.llm_background_ablation,llm-srbench_bpg0__llmsr__4omini__L1_Struct_Named__s18,sim-group,"sim,llmsr,4omini,L1_Struct_Named",250,4,10,2,"x0,x1",y,250,251,4.2671323223719147e-07,1.3030218372167417e-05,442,947852,0,632245,1580097,9195.93,8f7e092be14d,"This is a problem from the natural sciences. Args: t represents ['Time', P represents 'Population at time t'], params: Array of numeric constants or parameters to be optimized Retu"
