Complexity,Loss,Equation
1,0.19793907,"x0"
2,0.07700247,"0.55139375"
4,0.04031805,"1.0928396 - x1"
6,0.028803242,"cos(x1 + 0.39884642)"
8,0.026816258,"square(cos(x1) + -0.09082783)"
9,0.026344452,"0.76700854 - cube(sin(x1))"
10,0.021022163,"(cos(x1 + x0) + x0) - 0.36059773"
12,0.019070253,"(sin(x0) + cos(x0 + x1)) - 0.34374774"
13,0.009061368,"x0 * (square(cos(x1)) / (x0 + 0.010540338))"
14,0.006397702,"x0 * (cos(x1 - -0.32568467) / (x0 + 0.006447353))"
15,0.0059210835,"square(cos(x1)) * (sin(x0) / (x0 + 0.010017325))"
16,0.0030606815,"x0 * ((square(cos(x1)) / (x0 + 0.008716925)) + -0.19167769)"
18,0.002628143,"((cos(x1 / -0.7882476) / (x0 + 0.009546288)) + -0.23151687) * x0"
20,0.0023361836,"x0 * ((1.0639012 / ((x0 / square(cos(x1))) + 0.013404096)) - 0.26344052)"
24,0.0022202418,"x0 * ((square(cos(x1 + -0.253001)) / ((x0 / cos(x1)) + 0.011169277)) + -0.2394369)"
25,0.002153683,"x0 * ((cos((x1 * -1.2221209) + 0.22942485) / ((x0 / cos(x1)) + 0.0105608255)) + -0.22965246)"
26,0.0020413266,"((cos(sin(square(x1) * 1.2964054)) / ((x0 / cos(x1)) + 0.011051264)) + -0.259087) * x0"
29,0.0019899253,"(((cos(sin(square(x1 * 1.1300112))) / ((x0 / cos(x1)) + 0.012262254)) + -0.288617) * 1.0336971) * x0"
