family,subgroup,dataset_name,dataset_dir,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,has_formula_py,resolved_dataset_dir,error_type,error
llm-srbench,lsrtransform,I.10.7_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.10.7_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.10.7_1_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.10.7_1_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.10.7_1_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.10.7_1_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.10.7_1_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.10.7_1_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.10.7_1_0/ood_test.csv 中缺少目标列 v')
llm-srbench,lsrtransform,I.11.19_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_0_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_0_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_0_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_0_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_0_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_0_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_0_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_0_0/ood_test.csv 中缺少目标列 x1')
llm-srbench,lsrtransform,I.11.19_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_1_0/ood_test.csv 中缺少目标列 x2')
llm-srbench,lsrtransform,I.11.19_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_2_0/ood_test.csv 中缺少目标列 x3')
llm-srbench,lsrtransform,I.11.19_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_3_0/ood_test.csv 中缺少目标列 y1')
llm-srbench,lsrtransform,I.11.19_4_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_4_0/ood_test.csv 中缺少目标列 y2')
llm-srbench,lsrtransform,I.11.19_5_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_5_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_5_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_5_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_5_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_5_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_5_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_5_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.11.19_5_0/ood_test.csv 中缺少目标列 y3')
llm-srbench,lsrtransform,I.12.2_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.12.2_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.12.2_3_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.12.2_3_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.12.2_3_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.12.2_3_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.12.2_3_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.12.2_3_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.12.2_3_0/ood_test.csv 中缺少目标列 r')
llm-srbench,lsrtransform,I.12.4_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.12.4_2_0,sim-datasets-data/llm-srbench/lsrtransform/I.12.4_2_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.12.4_2_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.12.4_2_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.12.4_2_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.12.4_2_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.12.4_2_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.12.4_2_0/ood_test.csv 中缺少目标列 r')
llm-srbench,lsrtransform,I.13.12_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0,sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/train.csv,sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/valid.csv,sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/id_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/ood_test.csv,sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/metadata.yaml,yes,/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0,missing_target_column,ValueError('/home/family/workplace/scientific-intelligent-modelling/sim-datasets-data/llm-srbench/lsrtransform/I.13.12_3_0/ood_test.csv 中缺少目标列 r2')
