dataset_id,global_index,dataset_name,family,subgroup,selection_mode,candidate_advantage_side,method_total,valid_method_count,valid_methods,missing_or_invalid_methods,mean_valid_nmse,median_valid_nmse,mean_id_nmse,median_id_nmse,mean_ood_nmse,median_ood_nmse,mean_log10_id_nmse,median_log10_id_nmse,mean_log10_ood_nmse,median_log10_ood_nmse,mean_id_r2,median_id_r2,mean_ood_r2,median_ood_r2,mean_runtime,median_runtime,mean_complexity,median_complexity,mean_expression_chars,status_ok,status_timed_out,timeout_budget_exhausted_with_output,timeout_partial_output,timeout_no_valid_output,timeout_not_timeout
g0001,1,feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.053290e+241,1.993051e+22,3.926505e+241,9.775100e+22,8.606978e+238,3.649856e+19,67.2127,22.9901,65.3606,19.5623,-4.046600e+241,-1.007408e+23,-1.526089e+240,-6.471501e+20,3138.12,3609.06,12.2857,8,303.429,2,5,5,0,0,2
g0002,2,feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,4.503146e+80,1.338547e+45,4.997137e+80,1.545051e+45,5.047362e+85,1.316023e+49,38.2414,45.1889,40.9915,49.1193,-5.523979e+80,-1.707944e+45,-5.073020e+85,-1.322713e+49,3137.94,3608.93,10.7143,11,260.143,2,5,5,0,0,2
g0003,3,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,6.671577e+17,1.06177,1.192254e+18,1.06936,3.003130e+08,1.00005,4.08806,0.029123,1.70294,2.311860e-05,-1.192283e+18,-0.0693831,-3.003588e+08,-0.000205717,3134.78,3603.32,934.286,14,4986.29,2,5,5,0,0,2
g0004,4,feynman-iii.12.43,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.407932e+78,25.4076,1.368309e+78,22.591,4.395435e+81,199.615,28.5122,1.35393,29.7362,2.30019,-5.546354e+78,-90.5711,-8.648003e+81,-391.741,3137.78,3608.15,8,11,250.143,2,5,5,0,0,2
g0005,5,feynman-ii.11.27,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,2.487608e+79,1.03193,1.756658e+79,1,1.132342e+77,1,28.4767,0,27.4239,0,-1.899927e+79,-0.0815576,-2.790496e+78,-23.6436,3133.66,3603.32,10.5714,11,263.143,1,6,6,0,0,1
g0006,6,feynman-ii.11.27,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,3.402659e+79,1,2.402833e+79,1,1.544090e+77,1,33.6772,0,32.63,0,-2.598803e+79,-0.0815576,-5.510586e+78,-34.6882,3135.47,3605.22,8.71429,11,269.429,2,5,5,0,0,2
g0007,7,CRK22,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,6,drsr;dso;gplearn;llmsr;pyoperon;tpsr,pysr,2.1599,0.0233769,3.30319,0.0354578,1.288672e+05,837.981,-1.35424,-1.45029,2.77985,2.47084,-2.9841,0.957233,-8.139032e+06,-5.292448e+04,2878.14,3607.93,10.6667,8,290.333,3,4,3,1,0,3
g0008,8,feynman-ii.34.29a,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,5.162478e+86,5.156799e+28,5.189128e+86,5.612928e+28,9.094796e+91,3.194802e+27,36.2511,28.7492,38.2912,27.5044,-5.189784e+86,-5.613637e+28,-9.094796e+91,-3.194803e+27,3137.98,3608.92,13.4286,11,279.143,2,5,5,0,0,2
g0009,9,feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,2.035350e+92,1573.67,2.348795e+92,1798.23,3.629097e+86,81.7041,26.8828,3.25485,24.1104,1.91224,-2.349264e+92,-1797.59,-3.629615e+86,-80.7157,3134.4,3604.5,12.7143,18,302.429,2,5,5,0,0,2
g0010,10,feynman-bonus.7,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.943761e+70,1,2.759693e+70,1,9.263684e+71,1,23.9541,0,24.4692,0,-3.812365e+70,-0.381445,-2.505489e+72,-1.70464,3137.47,3608.03,6.57143,3,234.571,2,5,5,0,0,2
