method,dataset_id,dataset_name,family,subgroup,timeout_type,status,valid_nmse,id_nmse,ood_nmse,id_r2,ood_r2,runtime,expression,error,result_relpath,source_result_path,rerun_reason
pysr,g0007,CRK22,llm-srbench,llm-srbench/chem_react,partial_output,timed_out,,,,,,3601.732,sin(0.00045044912) + (x1 * ((exp(x1 * 1.6030856) + cos(log(sin(x1)) + 0.8062095)) * -0.053979162)),"TimeoutError(""算法 'pysr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",results/W3/pysr/iaaccn22/g0007_CRK22/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn24/pysr/pysr/g0007_CRK22/result.json,e1_repair_remaining_20260426
pyoperon,g0012,feynman-i.26.2,srsd,srsd/srsd-feynman_easy_dummy,not_timeout,ok,1.8232454008701329,0.9420362393383256,,0.0297458928522359,,8.174,((-8.525) + (15.244 * (log(sin((0.933 * X4))) * ((((-0.101) * X4) + ((-1.435) * X2)) / (sqrt(1 + 0.066 ^ 2)))))),,results/W2/pyoperon/iaaccn22/g0012_feynman-i.26.2/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn23/pyoperon/pyoperon/g0012_feynman-i.26.2/result.json,e1_repair_remaining_20260426
tpsr,g0022,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,partial_output,timed_out,,,,,,3607.15,((0.002 + (-0.001 * x_1)) - (0.002 + (-0.009 * (((0.001 + (-0.001 * x_3)) + ((0.001 + (-0.001 * x_5)) + ((0.001 + (-0.001 * x_1)) + ((0.009 + (-0.0009 * x_5)) * ((0.001 + (-0.009 * x_0)) + (0.001 + (-0.9 * ((0.009 + (0.009 * ((90.0 + (-0.001 * x_4)))**2)))**2))))))))**3))),"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",results/W5/tpsr/iaaccn22/g0022_feynman-ii.11.20/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn25/tpsr/tpsr/g0022_feynman-ii.11.20/result.json,e1_repair_remaining_20260426
tpsr,g0025,feynman-bonus.4,srsd,srsd/srsd-feynman_hard_dummy,no_valid_output,timed_out,,,,,,3607.292,,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",results/W5/tpsr/iaaccn22/g0025_feynman-bonus.4/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn25/tpsr/tpsr/g0025_feynman-bonus.4/result.json,e1_repair_remaining_20260426
tpsr,g0039,feynman-ii.11.3,srsd,srsd/srsd-feynman_medium_dummy,no_valid_output,timed_out,,,,,,3606.813,,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",results/W5/tpsr/iaaccn22/g0039_feynman-ii.11.3/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn25/tpsr/tpsr/g0039_feynman-ii.11.3/result.json,e1_repair_remaining_20260426
pyoperon,g0078,III.21.20_2_0,llm-srbench,llm-srbench/lsrtransform,not_timeout,ok,0.2755598773630295,0.2703471637964043,,0.5175197263785296,,8.767,(27.780 + ((-29.947) * sin((log((((0.147 * X1) / (sqrt(1 + 2.238 ^ 2))) + ((0.821 * X4) * ((-0.534) * X1)))) / (sqrt(1 + ((-0.289) * X3) ^ 2)))))),,results/W2/pyoperon/iaaccn23/g0078_III.21.20_2_0/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn23/pyoperon/pyoperon/g0078_III.21.20_2_0/result.json,e1_repair_remaining_20260426
dso,g0130,Keijzer-10,keijzer,keijzer,partial_output,timed_out,0.0002071856507272,,0.0001544311185422,,0.9989898877094046,3601.874,exp((x1 + x2 - sin(x1))*log(x1)),"TimeoutError(""算法 'dso' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",results/W4/dso/iaaccn26/g0130_Keijzer-10/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn28/dso/dso/g0130_Keijzer-10/result.json,e1_repair_remaining_20260426
pysr,g0130,Keijzer-10,keijzer,keijzer,partial_output,timed_out,1.3137600289333627e-32,,1.04924468663337e-32,,1.0,3601.64,exp(x1 * log(x0)),"TimeoutError(""算法 'pysr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",results/W3/pysr/iaaccn24/g0130_Keijzer-10/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn24/pysr/pysr/g0130_Keijzer-10/result.json,e1_repair_remaining_20260426
dso,g0141,Keijzer-15,keijzer,keijzer,partial_output,timed_out,0.0478951076538949,,,,,3601.88,x2*log(x2/sin(x2 + 1/(2*x2))),"TimeoutError(""算法 'dso' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",results/W4/dso/iaaccn26/g0141_Keijzer-15/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn28/dso/dso/g0141_Keijzer-15/result.json,e1_repair_remaining_20260426
pysr,g0143,MatSci8,llm-srbench,llm-srbench/matsci,partial_output,timed_out,2.1726618911947393e-09,,1.88619729472192e-08,,0.999995628710898,3601.683,(1889.3593 * x0) * ((x0 * 0.99451864) + ((-27.014355 / x1) + (log(x0 * x0) * 0.0044810046))),"TimeoutError(""算法 'pysr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",results/W3/pysr/iaaccn24/g0143_MatSci8/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn24/pysr/pysr/g0143_MatSci8/result.json,e1_repair_remaining_20260426
