dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,selection_mode,candidate_advantage_side,method_count,valid_output_methods,valid_output_method_names,status_ok,status_timed_out,status_error
g0001,1,feynman-iii.15.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,4,drsr;dso;llmsr;tpsr,2,5,0
g0002,2,feynman-iii.15.14,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0003,3,feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,srsd,srsd/srsd-feynman_hard,strict,llmsr,7,5,drsr;dso;llmsr;pyoperon;tpsr,1,6,0
g0004,4,feynman-iii.12.43,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.12.43,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,5,drsr;dso;llmsr;pysr;tpsr,2,5,0
g0005,5,feynman-ii.11.27,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,srsd,srsd/srsd-feynman_hard,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0006,6,feynman-ii.11.27,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,1,6,0
g0007,7,CRK22,sim-datasets-data/llm-srbench/chem_react/CRK22,llm-srbench,llm-srbench/chem_react,strict,llmsr,7,5,dso;gplearn;llmsr;pyoperon;tpsr,3,4,0
g0008,8,feynman-ii.34.29a,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.34.29a,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0009,9,feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,5,drsr;dso;llmsr;pysr;tpsr,2,5,0
g0010,10,feynman-bonus.7,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.7,srsd,srsd/srsd-feynman_hard,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,2,5,0
