dataset_id,global_index,dataset_name,method,host,wave,expected_dataset_rel,expected_feature_count,actual_feature_count,result_relpath
g0003,3,feynman-ii.11.20,drsr,iaaccn26,W2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,4,6,results/W2/drsr/iaaccn26/g0003_feynman-ii.11.20/result.json
g0003,3,feynman-ii.11.20,dso,iaaccn22,W4,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,4,6,results/W4/dso/iaaccn22/g0003_feynman-ii.11.20/result.json
g0003,3,feynman-ii.11.20,gplearn,iaaccn22,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,4,6,results/W1/gplearn/iaaccn22/g0003_feynman-ii.11.20/result.json
g0003,3,feynman-ii.11.20,llmsr,iaaccn26,W1,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.20,4,6,results/W1/llmsr/iaaccn26/g0003_feynman-ii.11.20/result.json
g0005,5,feynman-ii.11.27,drsr,iaaccn26,W2,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,3,5,results/W2/drsr/iaaccn26/g0005_feynman-ii.11.27/result.json
g0005,5,feynman-ii.11.27,pysr,iaaccn22,W3,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,3,5,results/W3/pysr/iaaccn22/g0005_feynman-ii.11.27/result.json
g0005,5,feynman-ii.11.27,tpsr,iaaccn22,W5,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,3,5,results/W5/tpsr/iaaccn22/g0005_feynman-ii.11.27/result.json
g0006,6,feynman-ii.11.27,gplearn,iaaccn22,W1,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,5,3,results/W1/gplearn/iaaccn22/g0006_feynman-ii.11.27/result.json
g0006,6,feynman-ii.11.27,llmsr,iaaccn26,W1,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,5,3,results/W1/llmsr/iaaccn26/g0006_feynman-ii.11.27/result.json
g0006,6,feynman-ii.11.27,pyoperon,iaaccn22,W2,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,5,3,results/W2/pyoperon/iaaccn22/g0006_feynman-ii.11.27/result.json
g0009,9,feynman-ii.15.4,drsr,iaaccn26,W2,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,6,3,results/W2/drsr/iaaccn26/g0009_feynman-ii.15.4/result.json
g0009,9,feynman-ii.15.4,gplearn,iaaccn22,W1,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,6,3,results/W1/gplearn/iaaccn22/g0009_feynman-ii.15.4/result.json
g0009,9,feynman-ii.15.4,llmsr,iaaccn26,W1,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,6,3,results/W1/llmsr/iaaccn26/g0009_feynman-ii.15.4/result.json
g0009,9,feynman-ii.15.4,pyoperon,iaaccn22,W2,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,6,3,results/W2/pyoperon/iaaccn22/g0009_feynman-ii.15.4/result.json
g0009,9,feynman-ii.15.4,pysr,iaaccn22,W3,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,6,3,results/W3/pysr/iaaccn22/g0009_feynman-ii.15.4/result.json
