method,family,has_expression,has_full_metrics,result_status_ok,result_status_timed_out,status_mismatch,status_ok,status_timed_out,timeout_type_budget_exhausted_with_output,timeout_type_no_valid_output,timeout_type_not_timeout,timeout_type_partial_output,timeout_type_unvalidated_expression,total,valid_output,valid_output_rate
drsr,keijzer,6,6,0,6,0,0,6,6,0,0,0,0,6,6,1.0
drsr,korns,9,9,0,9,0,0,9,9,0,0,0,0,9,9,1.0
drsr,llm-srbench,70,10,0,70,0,0,70,10,0,0,60,0,70,10,0.14285714285714285
drsr,nguyen,6,6,0,6,0,0,6,6,0,0,0,0,6,6,1.0
drsr,srbench1.0,33,0,0,33,0,0,33,0,0,0,32,1,33,0,0.0
drsr,srbench2025,6,0,0,6,0,0,6,0,0,0,6,0,6,0,0.0
drsr,srsd,70,70,0,70,0,0,70,70,0,0,0,0,70,70,1.0
dso,keijzer,6,3,2,4,0,2,4,2,0,2,2,0,6,3,0.5
dso,korns,9,9,0,9,0,0,9,9,0,0,0,0,9,9,1.0
dso,llm-srbench,70,68,0,70,0,0,70,68,0,0,2,0,70,68,0.9714285714285714
dso,nguyen,6,6,3,3,0,3,3,3,0,3,0,0,6,6,1.0
dso,srbench1.0,33,31,7,26,0,7,26,24,0,7,2,0,33,31,0.9393939393939394
dso,srbench2025,6,6,0,6,0,0,6,6,0,0,0,0,6,6,1.0
dso,srsd,70,65,16,54,0,16,54,49,0,16,1,4,70,65,0.9285714285714286
gplearn,keijzer,6,3,0,6,0,0,6,3,0,0,3,0,6,3,0.5
gplearn,korns,9,1,0,9,0,0,9,1,0,0,7,1,9,1,0.1111111111111111
gplearn,llm-srbench,70,39,0,70,0,0,70,39,0,0,31,0,70,39,0.5571428571428572
gplearn,nguyen,6,4,0,6,0,0,6,4,0,0,2,0,6,4,0.6666666666666666
gplearn,srbench1.0,33,19,0,33,0,0,33,19,0,0,14,0,33,19,0.5757575757575758
gplearn,srbench2025,6,2,0,6,0,0,6,2,0,0,4,0,6,2,0.3333333333333333
gplearn,srsd,70,38,0,70,0,0,70,38,0,0,31,1,70,38,0.5428571428571428
llmsr,keijzer,6,6,6,0,0,6,0,0,0,6,0,0,6,6,1.0
llmsr,korns,9,9,9,0,0,9,0,0,0,9,0,0,9,9,1.0
llmsr,llm-srbench,70,70,70,0,0,70,0,0,0,70,0,0,70,70,1.0
llmsr,nguyen,6,6,6,0,0,6,0,0,0,6,0,0,6,6,1.0
llmsr,srbench1.0,33,33,33,0,0,33,0,0,0,33,0,0,33,33,1.0
llmsr,srbench2025,6,6,6,0,0,6,0,0,0,6,0,0,6,6,1.0
llmsr,srsd,70,70,68,2,5,63,7,7,0,63,0,0,70,70,1.0
pyoperon,keijzer,6,6,6,0,0,6,0,0,0,6,0,0,6,6,1.0
pyoperon,korns,9,9,9,0,0,9,0,0,0,9,0,0,9,9,1.0
pyoperon,llm-srbench,70,64,70,0,0,70,0,0,0,70,0,0,70,64,0.9142857142857143
pyoperon,nguyen,6,6,6,0,0,6,0,0,0,6,0,0,6,6,1.0
pyoperon,srbench1.0,33,33,33,0,0,33,0,0,0,33,0,0,33,33,1.0
pyoperon,srbench2025,6,5,6,0,0,6,0,0,0,6,0,0,6,5,0.8333333333333334
pyoperon,srsd,70,48,70,0,0,70,0,0,0,70,0,0,70,48,0.6857142857142857
pysr,keijzer,6,3,0,6,0,0,6,3,0,0,3,0,6,3,0.5
pysr,korns,9,9,0,9,0,0,9,9,0,0,0,0,9,9,1.0
pysr,llm-srbench,70,56,0,70,0,0,70,56,0,0,14,0,70,56,0.8
pysr,nguyen,6,6,0,6,0,0,6,6,0,0,0,0,6,6,1.0
pysr,srbench1.0,33,33,0,33,0,0,33,33,0,0,0,0,33,33,1.0
pysr,srbench2025,6,4,0,6,0,0,6,4,0,0,2,0,6,4,0.6666666666666666
pysr,srsd,70,66,0,70,0,0,70,66,0,0,2,2,70,66,0.9428571428571428
tpsr,keijzer,6,6,4,2,0,4,2,2,0,4,0,0,6,6,1.0
tpsr,korns,9,9,3,6,0,3,6,6,0,3,0,0,9,9,1.0
tpsr,llm-srbench,69,69,7,63,0,7,63,62,1,7,0,0,70,69,0.9857142857142858
tpsr,nguyen,6,6,4,2,0,4,2,2,0,4,0,0,6,6,1.0
tpsr,srbench1.0,33,33,6,27,0,6,27,27,0,6,0,0,33,33,1.0
tpsr,srbench2025,6,6,6,0,0,6,0,0,0,6,0,0,6,6,1.0
tpsr,srsd,67,66,5,65,2,7,63,61,3,5,1,0,70,66,0.9428571428571428
