dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,method,seed,wave,host,status,task_status,result_status,status_mismatch,valid_output,has_full_metrics,has_expression,artifact_valid,timeout_type,valid_nmse,id_nmse,ood_nmse,id_r2,ood_r2,runtime,expression,expression_chars,complexity,tree_depth,variable_count,variables,operator_set,equation_count,error,canonical_artifact_error,result_relpath,source_result_path,rerun_reason
g0001,1,feynman-iii.15.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.12,A,strict,pysr,drsr,1314,W2,iaaccn26,timed_out,timed_out,timed_out,false,true,true,true,true,budget_exhausted_with_output,5.240412356582742e+97,2.2429389689741032e+98,8.920169963472895e+94,-2.311541297788498e+98,-1.5816209283170803e+96,3901.155,"def equation(x0: np.ndarray, x1: np.ndarray, x2: np.ndarray, x3: np.ndarray, x4: np.ndarray, params: np.ndarray) -> np.ndarray:
    """"""Equation to be evolved.

    Background:
    This is a symbolic regression task. Find a compact mathematical equation that predicts the target from the observed variables.

    Variables:
    - Independents:
  - x0: x0
  - x1: x1
  - x2: x2
  - x3: x3
  - x4: x4
- Dependent:
  - y: y

    Parameters:
    - params (np.ndarray): Trainable coefficients used by the equation skeleton.

    Output requirement:
    - Write the final formula as a single-line return statement.
    - Do not split the final formula across multiple lines.
    - Example: return params[0] + params[1] * x0 + params[2] * x1 + params[3] * x2 + params[4] * x3 + params[5] * x4
    """"""
    return params[0] + params[1] * x0 + params[2] * x1 + params[3] * x2 + params[4] * x3 + params[5] * x4",898,17,3,5,x0;x1;x2;x3;x4,add;mul,1,"TimeoutError(""算法 'drsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",,results/W2/drsr/iaaccn26/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn26/drsr/feynman-iii.15.12/result.json,
g0001,1,feynman-iii.15.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.12,A,strict,pysr,dso,1314,W4,iaaccn22,timed_out,timed_out,timed_out,false,true,true,true,true,budget_exhausted_with_output,0.818903975570823,1.0330123702367064,0.8651486375606309,-0.06460799333327683,-14.339810753316263,3615.359,sin(x2**2*(x3 - 1)),19,8,4,2,x1;x2,add;mul;pow;sin,1,"TimeoutError(""算法 'dso' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",,results/W4/dso/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w4_20260424-041046/iaaccn22/dso/feynman-iii.15.12/result.json,
g0001,1,feynman-iii.15.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.12,A,strict,pysr,gplearn,1314,W1,iaaccn22,timed_out,timed_out,timed_out,false,false,false,true,true,partial_output,,,,,,3609.061,"log(log(div(-0.593, X3)))",25,7,5,1,x2,log;mul;pow,1,"TimeoutError(""算法 'gplearn' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",,results/W1/gplearn/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/iaaccn22/gplearn/feynman-iii.15.12/result.json,
g0001,1,feynman-iii.15.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.12,A,strict,pysr,llmsr,1314,W1,iaaccn26,ok,ok,ok,false,true,true,true,true,not_timeout,1.1571648639197415e+106,4.952759057418235e+106,1.9697110424832798e+103,-5.104243698817499e+106,-3.4924628345488544e+104,3607.668,"def equation(x0: np.ndarray, x1: np.ndarray, x2: np.ndarray, x3: np.ndarray, x4: np.ndarray, params: np.ndarray) -> np.ndarray:
    """"""Equation to be evolved.

    Background:
    This is a symbolic regression task. Find a compact mathematical equation that predicts the target from the observed variables.

    Variables:
    - Independents: x0, x1, x2, x3, x4
- Dependent: y

    Parameters:
    - params (np.ndarray): Trainable coefficients used by the equation skeleton.

    Output requirement:
    - Write the final formula as a single-line return statement.
    - Do not split the final formula across multiple lines.
    - Example: return params[0] + params[1] * x0 + params[2] * x1 + params[3] * x2 + params[4] * x3 + params[5] * x4
    """"""
    return params[0] + params[1] * x0 + params[2] * x1 + params[3] * x2 + params[4] * x3 + params[5] * x4

",857,17,3,5,x0;x1;x2;x3;x4,add;mul,1,,,results/W1/llmsr/iaaccn26/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/iaaccn26/llmsr/feynman-iii.15.12/result.json,
g0001,1,feynman-iii.15.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.12,A,strict,pysr,pyoperon,1314,W2,iaaccn22,ok,ok,ok,false,false,false,true,true,not_timeout,,,,,,9.835,(0.000 + ((-0.000) * sin((0.357 * X4)))),40,1,1,0,,,1,,,results/W2/pyoperon/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn22/pyoperon/feynman-iii.15.12/result.json,
g0001,1,feynman-iii.15.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.12,A,strict,pysr,pysr,1314,W3,iaaccn22,timed_out,timed_out,timed_out,false,false,false,true,true,partial_output,,,,,,3604.063,cube(x4),8,2,2,1,x3,cube,1,"TimeoutError(""算法 'pysr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")","NameError(""name 'cube' is not defined"")",results/W3/pysr/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/iaaccn22/pysr/feynman-iii.15.12/result.json,
g0001,1,feynman-iii.15.12,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.12,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.12,A,strict,pysr,tpsr,1314,W5,iaaccn22,timed_out,timed_out,timed_out,false,true,true,true,true,budget_exhausted_with_output,1.9930509945895607e+22,9.775099846347753e+22,3.649855889254063e+19,-1.0074080167760337e+23,-6.471500524568583e+20,3619.733,((3.0500000000000003 + (-0.00010000000000000528 * x_1)) - (3.0500000000000003 + (-0.9 * 1/((0.001 + (0.009 * (((0.01 + (-0.9 * x_2)) + ((0.01 + (-0.9 * x_0)) + ((0.01 + (-0.9 * 1/((0.060000000000000005 * x_2)))) + ((0.01 + (-90.0 * x_3)) + (0.009 + (0.009 * x_4)))))))**3)))))),277,33,10,5,x0;x1;x2;x3;x4,add;mul;pow,1,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",,results/W5/tpsr/iaaccn22/g0001_feynman-iii.15.12/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w5_20260424-041046/iaaccn22/tpsr/feynman-iii.15.12/result.json,
g0002,2,feynman-iii.15.14,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.14,A,strict,pysr,drsr,1314,W2,iaaccn26,timed_out,timed_out,timed_out,false,true,true,true,true,budget_exhausted_with_output,1.419625746350137e+73,1.5753573279763504e+73,1.5911917615161264e+78,-1.7414452645348364e+73,-1.5992802666918926e+78,3900.86,"def equation(x0: np.ndarray, x1: np.ndarray, x2: np.ndarray, params: np.ndarray) -> np.ndarray:
    """"""Equation to be evolved.

    Background:
    This is a symbolic regression task. Find a compact mathematical equation that predicts the target from the observed variables.

    Variables:
    - Independents:
  - x0: x0
  - x1: x1
  - x2: x2
- Dependent:
  - y: y

    Parameters:
    - params (np.ndarray): Trainable coefficients used by the equation skeleton.

    Output requirement:
    - Write the final formula as a single-line return statement.
    - Do not split the final formula across multiple lines.
    - Example: return params[0] + params[1] * x0 + params[2] * x1 + params[3] * x2
    """"""
    return params[0] + params[1] * x0 + params[2] * x1 + params[3] * x2",776,11,3,3,x0;x1;x2,add;mul,1,"TimeoutError(""算法 'drsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",,results/W2/drsr/iaaccn26/g0002_feynman-iii.15.14/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn26/drsr/feynman-iii.15.14/result.json,
g0002,2,feynman-iii.15.14,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.14,A,strict,pysr,dso,1314,W4,iaaccn22,timed_out,timed_out,timed_out,false,true,true,true,true,budget_exhausted_with_output,0.9811577970564945,0.9830248226848031,21.027300177792693,-0.08666389014337095,-20.134188254034623,3615.392,(cos(x1) + cos(x1*(x1 + x3 + log(x3))))/x2**2,45,15,7,3,x0;x1;x2,add;cos;log;mul;pow,1,"TimeoutError(""算法 'dso' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",,results/W4/dso/iaaccn22/g0002_feynman-iii.15.14/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w4_20260424-041046/iaaccn22/dso/feynman-iii.15.14/result.json,
g0002,2,feynman-iii.15.14,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.15.14,srsd,srsd/srsd-feynman_medium_dummy,feynman-iii.15.14,A,strict,pysr,gplearn,1314,W1,iaaccn22,timed_out,timed_out,timed_out,false,true,true,true,true,budget_exhausted_with_output,5.075572056502223e+67,5.848776691467217e+67,5.606984304348295e+71,-6.4654058427246e+67,-5.635486287995412e+71,3608.935,"div(log(X2), add(-0.124, X1))",29,8,4,2,x0;x1,add;log;mul;pow,1,"TimeoutError(""算法 'gplearn' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",,results/W1/gplearn/iaaccn22/g0002_feynman-iii.15.14/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/iaaccn22/gplearn/feynman-iii.15.14/result.json,
