wave,tool,host,expected,done,ok,timed_out,error,missing,raw_status_lines,extra_task_keys
W1,gplearn,iaaccn22,50,50,0,50,0,0,51,0
W1,gplearn,iaaccn23,50,50,0,50,0,0,50,0
W1,gplearn,iaaccn24,50,50,0,50,0,0,50,0
W1,gplearn,iaaccn25,50,50,0,50,0,0,50,0
W1,llmsr,iaaccn26,50,50,45,5,0,0,50,0
W1,llmsr,iaaccn27,50,50,49,1,0,0,50,0
W1,llmsr,iaaccn28,50,50,50,0,0,0,50,0
W1,llmsr,iaaccn29,50,50,49,1,0,0,50,0
W2,pyoperon,iaaccn22,50,50,50,0,0,0,200,0
W2,pyoperon,iaaccn23,50,50,50,0,0,0,200,0
W2,pyoperon,iaaccn24,50,50,50,0,0,0,200,0
W2,pyoperon,iaaccn25,50,50,50,0,0,0,200,0
W2,drsr,iaaccn26,50,50,0,50,0,0,50,0
W2,drsr,iaaccn27,50,50,0,50,0,0,50,0
W2,drsr,iaaccn28,50,50,0,50,0,0,50,0
W2,drsr,iaaccn29,50,50,0,50,0,0,50,0
W3,pysr,iaaccn22,50,50,0,50,0,0,50,0
W3,pysr,iaaccn23,50,50,0,50,0,0,50,0
W3,pysr,iaaccn24,50,50,0,50,0,0,50,0
W3,pysr,iaaccn25,50,50,0,50,0,0,50,0
W4,dso,iaaccn22,29,29,4,25,0,0,33,2
W4,dso,iaaccn23,29,29,9,20,0,0,33,2
W4,dso,iaaccn24,29,29,7,22,0,0,29,0
W4,dso,iaaccn25,29,29,0,29,0,0,29,0
W4,dso,iaaccn26,28,28,3,25,0,0,28,0
W4,dso,iaaccn27,28,28,0,28,0,0,28,0
W4,dso,iaaccn28,28,28,5,23,0,0,28,0
W5,tpsr,iaaccn22,50,50,9,41,0,0,50,0
W5,tpsr,iaaccn23,50,50,13,37,0,0,50,0
W5,tpsr,iaaccn24,50,50,10,40,0,0,50,0
W5,tpsr,iaaccn25,50,50,5,45,0,0,50,0
