tool,rerun_reason,previous_result_relpath,previous_timeout_type,previous_identity_status,previous_error,global_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0006_feynman-ii.11.27/result.json,not_timeout,wrong_dataset_collision,,6,feynman-ii.11.27,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27,srsd,srsd/srsd-feynman_hard_dummy,feynman-ii.11.27,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.27/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0009_feynman-ii.15.4/result.json,not_timeout,wrong_dataset_collision,,9,feynman-ii.15.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0012_feynman-i.26.2/result.json,not_timeout,exact_match,,12,feynman-i.26.2,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.26.2,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.26.2/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0015_feynman-i.41.16/result.json,not_timeout,wrong_dataset_collision,,15,feynman-i.41.16,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,srsd,srsd/srsd-feynman_hard,feynman-i.41.16,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0022_feynman-ii.11.20/result.json,not_timeout,wrong_dataset_collision,,22,feynman-ii.11.20,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,feynman-ii.11.20,A,strict,llmsr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0025_feynman-bonus.4/result.json,not_timeout,wrong_dataset_collision,,25,feynman-bonus.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,srsd,srsd/srsd-feynman_hard_dummy,feynman-bonus.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0033_feynman-iii.4.33/result.json,not_timeout,wrong_dataset_collision,,33,feynman-iii.4.33,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,srsd,srsd/srsd-feynman_hard,feynman-iii.4.33,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn22/g0042_feynman-bonus.5/result.json,not_timeout,wrong_dataset_collision,,42,feynman-bonus.5,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,srsd,srsd/srsd-feynman_hard,feynman-bonus.5,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn23/g0072_feynman-i.43.31/result.json,not_timeout,wrong_dataset_collision,,72,feynman-i.43.31,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,srsd,srsd/srsd-feynman_medium,feynman-i.43.31,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/formula.py
pyoperon,e1_repair_remaining_20260426,results/W2/pyoperon/iaaccn23/g0078_III.21.20_2_0/result.json,not_timeout,exact_match,,78,III.21.20_2_0,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0,sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0,llm-srbench,llm-srbench/lsrtransform,III.21.20_2_0,A,strict,pysr,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0/train.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0/valid.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0/id_test.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0/ood_test.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0/metadata.yaml,/home/zhangziwen/sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0/formula.py
