tool,rerun_reason,previous_result_relpath,previous_timeout_type,previous_identity_status,previous_error,global_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0005_feynman-ii.11.27/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",5,feynman-ii.11.27,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27,srsd,srsd/srsd-feynman_hard,feynman-ii.11.27,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-ii.11.27/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0009_feynman-ii.15.4/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",9,feynman-ii.15.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.15.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.15.4/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0015_feynman-i.41.16/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",15,feynman-i.41.16,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16,srsd,srsd/srsd-feynman_hard,feynman-i.41.16,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.41.16/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0022_feynman-ii.11.20/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",22,feynman-ii.11.20,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,feynman-ii.11.20,A,strict,llmsr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.11.20/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0025_feynman-bonus.4/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",25,feynman-bonus.4,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4,srsd,srsd/srsd-feynman_hard_dummy,feynman-bonus.4,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.4/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0033_feynman-iii.4.33/result.json,not_timeout,wrong_dataset_collision,,33,feynman-iii.4.33,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,srsd,srsd/srsd-feynman_hard,feynman-iii.4.33,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0039_feynman-ii.11.3/result.json,no_valid_output,exact_match,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",39,feynman-ii.11.3,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3,srsd,srsd/srsd-feynman_medium_dummy,feynman-ii.11.3,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn22/g0042_feynman-bonus.5/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",42,feynman-bonus.5,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,srsd,srsd/srsd-feynman_hard,feynman-bonus.5,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn23/g0072_feynman-i.43.31/result.json,invalid_output,wrong_dataset_collision,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",72,feynman-i.43.31,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,srsd,srsd/srsd-feynman_medium,feynman-i.43.31,A,strict,pysr,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/train.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/valid.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/id_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/ood_test.csv,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/metadata.yaml,/home/zhangziwen/sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31/formula.py
tpsr,e1_repair_remaining_20260426,results/W5/tpsr/iaaccn25/g0158_PO0/result.json,no_valid_output,exact_match,"TimeoutError(""算法 'tpsr' 的子进程执行超时：action=fit, timeout_in_seconds=3600"")",158,PO0,/home/zhangziwen/sim-datasets-data/llm-srbench/phys_osc/PO0,sim-datasets-data/llm-srbench/phys_osc/PO0,llm-srbench,llm-srbench/phys_osc,PO0,B,one-sided,llmsr,/home/zhangziwen/sim-datasets-data/llm-srbench/phys_osc/PO0/train.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/phys_osc/PO0/valid.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/phys_osc/PO0/id_test.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/phys_osc/PO0/ood_test.csv,/home/zhangziwen/sim-datasets-data/llm-srbench/phys_osc/PO0/metadata.yaml,/home/zhangziwen/sim-datasets-data/llm-srbench/phys_osc/PO0/formula.py
