wave,tool,host,task_count,workers,conda_env,slice_rel,params_rel,remote_job_rel,session
W1,gplearn,iaaccn22,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W1/gplearn/iaaccn22.csv,exp-planning/02.E1选择验证/generated/params/gplearn.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/gplearn_iaaccn22.sh,e1_w1_gplearn_22
W1,gplearn,iaaccn23,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W1/gplearn/iaaccn23.csv,exp-planning/02.E1选择验证/generated/params/gplearn.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/gplearn_iaaccn23.sh,e1_w1_gplearn_23
W1,gplearn,iaaccn24,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W1/gplearn/iaaccn24.csv,exp-planning/02.E1选择验证/generated/params/gplearn.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/gplearn_iaaccn24.sh,e1_w1_gplearn_24
W1,gplearn,iaaccn25,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W1/gplearn/iaaccn25.csv,exp-planning/02.E1选择验证/generated/params/gplearn.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/gplearn_iaaccn25.sh,e1_w1_gplearn_25
W1,llmsr,iaaccn26,50,25,sim_llm,exp-planning/02.E1选择验证/generated/slices/W1/llmsr/iaaccn26.csv,exp-planning/02.E1选择验证/generated/params/llmsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/llmsr_iaaccn26.sh,e1_w1_llmsr_26
W1,llmsr,iaaccn27,50,25,sim_llm,exp-planning/02.E1选择验证/generated/slices/W1/llmsr/iaaccn27.csv,exp-planning/02.E1选择验证/generated/params/llmsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/llmsr_iaaccn27.sh,e1_w1_llmsr_27
W1,llmsr,iaaccn28,50,25,sim_llm,exp-planning/02.E1选择验证/generated/slices/W1/llmsr/iaaccn28.csv,exp-planning/02.E1选择验证/generated/params/llmsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/llmsr_iaaccn28.sh,e1_w1_llmsr_28
W1,llmsr,iaaccn29,50,25,sim_llm,exp-planning/02.E1选择验证/generated/slices/W1/llmsr/iaaccn29.csv,exp-planning/02.E1选择验证/generated/params/llmsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W1/llmsr_iaaccn29.sh,e1_w1_llmsr_29
W2,pyoperon,iaaccn22,50,24,sim_base,exp-planning/02.E1选择验证/generated/slices/W2/pyoperon/iaaccn22.csv,exp-planning/02.E1选择验证/generated/params/pyoperon.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/pyoperon_iaaccn22.sh,e1_w2_pyoperon_22
W2,pyoperon,iaaccn23,50,24,sim_base,exp-planning/02.E1选择验证/generated/slices/W2/pyoperon/iaaccn23.csv,exp-planning/02.E1选择验证/generated/params/pyoperon.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/pyoperon_iaaccn23.sh,e1_w2_pyoperon_23
W2,pyoperon,iaaccn24,50,24,sim_base,exp-planning/02.E1选择验证/generated/slices/W2/pyoperon/iaaccn24.csv,exp-planning/02.E1选择验证/generated/params/pyoperon.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/pyoperon_iaaccn24.sh,e1_w2_pyoperon_24
W2,pyoperon,iaaccn25,50,24,sim_base,exp-planning/02.E1选择验证/generated/slices/W2/pyoperon/iaaccn25.csv,exp-planning/02.E1选择验证/generated/params/pyoperon.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/pyoperon_iaaccn25.sh,e1_w2_pyoperon_25
W2,drsr,iaaccn26,50,20,sim_llm,exp-planning/02.E1选择验证/generated/slices/W2/drsr/iaaccn26.csv,exp-planning/02.E1选择验证/generated/params/drsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/drsr_iaaccn26.sh,e1_w2_drsr_26
W2,drsr,iaaccn27,50,20,sim_llm,exp-planning/02.E1选择验证/generated/slices/W2/drsr/iaaccn27.csv,exp-planning/02.E1选择验证/generated/params/drsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/drsr_iaaccn27.sh,e1_w2_drsr_27
W2,drsr,iaaccn28,50,20,sim_llm,exp-planning/02.E1选择验证/generated/slices/W2/drsr/iaaccn28.csv,exp-planning/02.E1选择验证/generated/params/drsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/drsr_iaaccn28.sh,e1_w2_drsr_28
W2,drsr,iaaccn29,50,20,sim_llm,exp-planning/02.E1选择验证/generated/slices/W2/drsr/iaaccn29.csv,exp-planning/02.E1选择验证/generated/params/drsr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W2/drsr_iaaccn29.sh,e1_w2_drsr_29
W3,pysr,iaaccn22,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W3/pysr/iaaccn22.csv,exp-planning/02.E1选择验证/generated/params/pysr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W3/pysr_iaaccn22.sh,e1_w3_pysr_22
W3,pysr,iaaccn23,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W3/pysr/iaaccn23.csv,exp-planning/02.E1选择验证/generated/params/pysr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W3/pysr_iaaccn23.sh,e1_w3_pysr_23
W3,pysr,iaaccn24,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W3/pysr/iaaccn24.csv,exp-planning/02.E1选择验证/generated/params/pysr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W3/pysr_iaaccn24.sh,e1_w3_pysr_24
W3,pysr,iaaccn25,50,32,sim_base,exp-planning/02.E1选择验证/generated/slices/W3/pysr/iaaccn25.csv,exp-planning/02.E1选择验证/generated/params/pysr.json,exp-planning/02.E1选择验证/generated/remote_jobs/W3/pysr_iaaccn25.sh,e1_w3_pysr_25
W4,dso,iaaccn22,29,15,sim_dso,exp-planning/02.E1选择验证/generated/slices/W4/dso/iaaccn22.csv,exp-planning/02.E1选择验证/generated/params/dso.json,exp-planning/02.E1选择验证/generated/remote_jobs/W4/dso_iaaccn22.sh,e1_w4_dso_22
W4,dso,iaaccn23,29,15,sim_dso,exp-planning/02.E1选择验证/generated/slices/W4/dso/iaaccn23.csv,exp-planning/02.E1选择验证/generated/params/dso.json,exp-planning/02.E1选择验证/generated/remote_jobs/W4/dso_iaaccn23.sh,e1_w4_dso_23
