dataset_dir,field,old_value,new_value,reason
keijzer/Keijzer-1,splits.train.ratio,null,0.00949525237381,samples / id_test.samples
keijzer/Keijzer-1,splits.valid.ratio,null,0.000999500249875,samples / id_test.samples
keijzer/Keijzer-1,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-1,splits.ood_test.ratio,null,0.104947526237,samples / id_test.samples
keijzer/Keijzer-1,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-1,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-1,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-1,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-10,splits.train.ratio,null,0.00882266444466,samples / id_test.samples
keijzer/Keijzer-10,splits.valid.ratio,null,0.000980296049407,samples / id_test.samples
keijzer/Keijzer-10,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-10,splits.ood_test.ratio,null,0.0980296049407,samples / id_test.samples
keijzer/Keijzer-10,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-10,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-10,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-10,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-12,splits.train.ratio,null,4.9833749076e-05,samples / id_test.samples
keijzer/Keijzer-12,splits.valid.ratio,null,5.53708323067e-06,samples / id_test.samples
keijzer/Keijzer-12,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-12,splits.ood_test.ratio,null,0.000553708323067,samples / id_test.samples
keijzer/Keijzer-12,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-12,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-12,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-12,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-15,splits.train.ratio,null,4.9833749076e-05,samples / id_test.samples
keijzer/Keijzer-15,splits.valid.ratio,null,5.53708323067e-06,samples / id_test.samples
keijzer/Keijzer-15,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-15,splits.ood_test.ratio,null,0.000553708323067,samples / id_test.samples
keijzer/Keijzer-15,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-15,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-15,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-15,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-2,splits.train.ratio,null,0.00924768807798,samples / id_test.samples
keijzer/Keijzer-2,splits.valid.ratio,null,0.000999750062484,samples / id_test.samples
keijzer/Keijzer-2,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-2,splits.ood_test.ratio,null,0.102474381405,samples / id_test.samples
keijzer/Keijzer-2,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-2,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-2,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-2,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-7,splits.train.ratio,null,0.0908173562059,samples / id_test.samples
keijzer/Keijzer-7,splits.valid.ratio,null,0.0100908173562,samples / id_test.samples
keijzer/Keijzer-7,splits.id_test.ratio,null,1,samples / id_test.samples
keijzer/Keijzer-7,splits.ood_test.ratio,null,1.00908173562,samples / id_test.samples
keijzer/Keijzer-7,splits.train.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-7,splits.valid.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-7,splits.id_test.nmse,null,0,computed from formula.py and split CSV
keijzer/Keijzer-7,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-1,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-1,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-1,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-1,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-1,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-1,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-1,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-1,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-11,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-11,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-11,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-11,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-11,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-11,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-11,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-11,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-12,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-12,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-12,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-12,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-12,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-12,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-12,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-12,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-2,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-2,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-2,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-2,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-2,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-2,splits.valid.nmse,null,0,computed from formula.py and split CSV
korns/Korns-2,splits.id_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-2,splits.ood_test.nmse,null,0,computed from formula.py and split CSV
korns/Korns-3,splits.train.ratio,null,0.9,samples / id_test.samples
korns/Korns-3,splits.valid.ratio,null,0.1,samples / id_test.samples
korns/Korns-3,splits.id_test.ratio,null,1,samples / id_test.samples
korns/Korns-3,splits.ood_test.ratio,null,10,samples / id_test.samples
korns/Korns-3,splits.train.nmse,null,0,computed from formula.py and split CSV
korns/Korns-3,splits.valid.nmse,null,0,computed from formula.py and split CSV
