result_path,tool,dataset,seed,source,candidate_count,success_count,best_ted,mean_ted
seed1314/drsr/oscillator1/result.json,drsr,oscillator1,1314,top10,10,10,23.0,23.8
seed1315/drsr/oscillator1/result.json,drsr,oscillator1,1315,top10,10,10,12.0,21.1
seed1316/drsr/oscillator1/result.json,drsr,oscillator1,1316,top10,10,10,23.0,23.0
seed1314/llmsr/oscillator1/result.json,llmsr,oscillator1,1314,top10,10,10,15.0,15.2
seed1315/llmsr/oscillator1/result.json,llmsr,oscillator1,1315,top10,10,9,11.0,22.22222222222222
seed1316/llmsr/oscillator1/result.json,llmsr,oscillator1,1316,top10,10,10,14.0,16.8
seed1314/pysr/oscillator1/result.json,pysr,oscillator1,1314,best_only,1,1,35.0,35.0
seed1315/pysr/oscillator1/result.json,pysr,oscillator1,1315,best_only,1,1,24.0,24.0
seed1316/pysr/oscillator1/result.json,pysr,oscillator1,1316,best_only,1,1,37.0,37.0
seed1314/drsr/oscillator2/result.json,drsr,oscillator2,1314,top10,10,10,27.0,28.5
seed1315/drsr/oscillator2/result.json,drsr,oscillator2,1315,top10,10,10,20.0,24.4
seed1316/drsr/oscillator2/result.json,drsr,oscillator2,1316,top10,10,10,20.0,22.9
seed1314/llmsr/oscillator2/result.json,llmsr,oscillator2,1314,top10,10,10,27.0,31.0
seed1315/llmsr/oscillator2/result.json,llmsr,oscillator2,1315,top10,10,10,26.0,31.2
seed1316/llmsr/oscillator2/result.json,llmsr,oscillator2,1316,top10,10,10,23.0,26.9
seed1314/pysr/oscillator2/result.json,pysr,oscillator2,1314,best_only,1,1,33.0,33.0
seed1315/pysr/oscillator2/result.json,pysr,oscillator2,1315,best_only,1,1,23.0,23.0
seed1316/pysr/oscillator2/result.json,pysr,oscillator2,1316,best_only,1,1,23.0,23.0
seed1314/drsr/stressstrain/result.json,drsr,stressstrain,1314,top10,10,10,39.0,39.0
seed1315/drsr/stressstrain/result.json,drsr,stressstrain,1315,top10,10,10,36.0,42.0
seed1316/drsr/stressstrain/result.json,drsr,stressstrain,1316,top10,10,10,32.0,38.2
seed1314/llmsr/stressstrain/result.json,llmsr,stressstrain,1314,top10,10,10,18.0,51.1
seed1315/llmsr/stressstrain/result.json,llmsr,stressstrain,1315,top10,10,9,37.0,46.55555555555556
seed1316/llmsr/stressstrain/result.json,llmsr,stressstrain,1316,top10,10,10,46.0,63.1
seed1314/pysr/stressstrain/result.json,pysr,stressstrain,1314,best_only,1,1,17.0,17.0
seed1315/pysr/stressstrain/result.json,pysr,stressstrain,1315,best_only,1,1,19.0,19.0
seed1316/pysr/stressstrain/result.json,pysr,stressstrain,1316,best_only,1,1,22.0,22.0
